"cheatsheet_id","tag_name"
"file-transfer-cheatsheet","FILE_TRANSFER"
"file-transfer-cheatsheet","OSCP:HIGH"
"file-transfer-cheatsheet","METHODOLOGY"
"file-transfer-cheatsheet","QUICK_WIN"
"ssh-tunneling-linux","SSH"
"ssh-tunneling-linux","TUNNELING"
"ssh-tunneling-linux","PIVOTING"
"ssh-tunneling-linux","OSCP:HIGH"
"ssh-tunneling-linux","LINUX"
"ssh-tunneling-linux","SOCKS"
"ssh-tunneling-linux","PORT_FORWARDING"
"ssh-tunneling-linux","FIREWALL_BYPASS"
"ssh-tunneling-linux","SOCAT"
"ssh-tunneling-linux","PROXYCHAINS"
"ssh-tunneling-linux","REVERSE_TUNNEL"
"port-forwarding-windows","WINDOWS"
"port-forwarding-windows","PORT_FORWARDING"
"port-forwarding-windows","PIVOTING"
"port-forwarding-windows","OSCP:HIGH"
"port-forwarding-windows","SSH"
"port-forwarding-windows","PLINK"
"port-forwarding-windows","NETSH"
"port-forwarding-windows","RDP"
"port-forwarding-windows","OPENSSH"
"port-forwarding-windows","FIREWALL_BYPASS"
"port-forwarding-windows","REVERSE_TUNNEL"
"port-forwarding-windows","ADMIN"
"metasploit-basics","METASPLOIT"
"metasploit-basics","BASICS"
"metasploit-basics","WORKFLOW"
"metasploit-basics","DATABASE"
"metasploit-basics","WORKSPACE"
"metasploit-basics","RECON"
"metasploit-basics","OSCP:HIGH"
"metasploit-post-exploit","METASPLOIT"
"metasploit-post-exploit","METERPRETER"
"metasploit-post-exploit","POST_EXPLOITATION"
"metasploit-post-exploit","PRIVILEGE_ESCALATION"
"metasploit-post-exploit","CREDENTIALS"
"metasploit-post-exploit","PIVOTING"
"metasploit-post-exploit","PERSISTENCE"
"metasploit-post-exploit","OSCP:HIGH"
"metasploit-automation","METASPLOIT"
"metasploit-automation","AUTOMATION"
"metasploit-automation","RESOURCE_SCRIPTS"
"metasploit-automation","AUTORUNSCRIPT"
"metasploit-automation","MASS_EXPLOITATION"
"metasploit-automation","EFFICIENCY"
"metasploit-automation","OSCP:MEDIUM"
"metasploit-automation","TIME_SAVING"
"metasploit-exploitation","METASPLOIT"
"metasploit-exploitation","EXPLOITATION"
"metasploit-exploitation","PAYLOAD"
"metasploit-exploitation","HANDLER"
"metasploit-exploitation","SESSION"
"metasploit-exploitation","METERPRETER"
"metasploit-exploitation","OSCP:HIGH"
"metasploit-exploitation","SHELLS"
"metasploit-scanning","METASPLOIT"
"metasploit-scanning","AUXILIARY"
"metasploit-scanning","SCANNING"
"metasploit-scanning","ENUMERATION"
"metasploit-scanning","SMB"
"metasploit-scanning","SSH"
"metasploit-scanning","HTTP"
"metasploit-scanning","DATABASE"
"metasploit-scanning","OSCP:HIGH"
"metasploit-payloads","METASPLOIT"
"metasploit-payloads","MSFVENOM"
"metasploit-payloads","PAYLOADS"
"metasploit-payloads","SHELLCODE"
"metasploit-payloads","ENCODING"
"metasploit-payloads","WEB_SHELLS"
"metasploit-payloads","OSCP:HIGH"
"metasploit-payloads","DELIVERY"
"powershell-one-liners","POWERSHELL"
"powershell-one-liners","LATERAL_MOVEMENT"
"powershell-one-liners","ACTIVE_DIRECTORY"
"powershell-one-liners","WINRM"
"powershell-one-liners","WMI"
"powershell-one-liners","REVERSE_SHELL"
"powershell-one-liners","ENUMERATION"
"powershell-one-liners","POST_EXPLOIT"
"powershell-one-liners","OSCP:HIGH"
"web-app-enumeration-breadth","WEB"
"web-app-enumeration-breadth","OSCP:HIGH"
"web-app-enumeration-breadth","METHODOLOGY"
"web-app-enumeration-breadth","ENUMERATION"
"web-app-enumeration-breadth","BREADTH_FIRST"
"web-app-enumeration-breadth","ATTACK_SURFACE"
"web-app-enumeration-breadth","RECONNAISSANCE"
"log-poisoning","web"
"log-poisoning","lfi"
"log-poisoning","rce"
"log-poisoning","log-poisoning"
"log-poisoning","apache"
"log-poisoning","nginx"
"log-poisoning","ssh"
"log-poisoning","proc"
"log-poisoning","oscp"
"log-poisoning","privilege-escalation"
"rfi-lfi-evaluation","WEB"
"rfi-lfi-evaluation","OSCP:HIGH"
"rfi-lfi-evaluation","QUICK_WIN"
"rfi-lfi-evaluation","FILE_INCLUSION"
"rfi-lfi-evaluation","LFI"
"rfi-lfi-evaluation","RFI"
"rfi-lfi-evaluation","PHP"
"signature-evasion-workflow","signatures"
"signature-evasion-workflow","binary-modification"
"signature-evasion-workflow","encoding"
"signature-evasion-workflow","msfvenom"
"signature-evasion-workflow","testing"
"signature-evasion-workflow","iterative"
"signature-evasion-workflow","av-evasion"
"signature-evasion-workflow","OSCP:HIGH"
"shellcode-runner-evasion","shellcode"
"shellcode-runner-evasion","csharp"
"shellcode-runner-evasion","evasion"
"shellcode-runner-evasion","encryption"
"shellcode-runner-evasion","sandbox"
"shellcode-runner-evasion","compilation"
"shellcode-runner-evasion","msfvenom"
"shellcode-runner-evasion","custom-loader"
"amsi-bypass-methodology","amsi"
"amsi-bypass-methodology","windows-defender"
"amsi-bypass-methodology","powershell"
"amsi-bypass-methodology","bypass"
"amsi-bypass-methodology","evasion"
"amsi-bypass-methodology","memory-patching"
"amsi-bypass-methodology","registry"
